,A_Accepted,A_Activated,A_Finalized,A_Preaccepted,A_Registered,O_Accepted,O_Cancelled,O_Created,O_Declined,O_Selected,O_Sent,O_Sent_back,W_Assess_fraude,W_Assessing_application,W_Calling_after_sent_offers,W_Calling_to_add_info_app,W_Change_contact_details,W_Filling_info_application,W_Fixing_incoming_lead
5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
19,1,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1
33,1,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0
149,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
156,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1
422,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,0
708,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0
763,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
5365,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0,1,1
6324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6499,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
7074,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
