,A_Accepted,A_Activated,A_Finalized,A_Preaccepted,A_Registered,O_Accepted,O_Cancelled,O_Created,O_Declined,O_Selected,O_Sent,O_Sent_back,W_Assess_fraude,W_Assessing_application,W_Calling_after_sent_offers,W_Calling_to_add_info_app,W_Change_contact_details,W_Filling_info_application,W_Fixing_incoming_lead
0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0
1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0
2,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
9,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0
10,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0
11,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0
14,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,1,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1
20,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1
22,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
33,1,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0
43,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0
64,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1
76,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
87,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1
95,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1
123,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1
134,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
149,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
156,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1
179,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1
215,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0
237,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1
280,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1
326,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0
422,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,0
426,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1
476,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1
659,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1
708,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0
723,1,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0
735,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0
763,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
842,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1
982,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1083,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1
1118,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
1408,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1634,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1
1815,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0
1899,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1
2099,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,0
2100,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0
2472,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0
2916,1,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1
5365,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0,1,1
6324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6499,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
6547,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0
6849,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0
6862,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0
7074,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
7902,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,0,0,1,0
8989,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0
9759,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1
9875,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,0
12568,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
