,label,A_APPROVED,A_Accepted,A_Activated,A_CANCELLED,A_DECLINED,A_Finalized,A_Partly_submetted,A_Preaccepted,A_Registered,A_Submitted,O_Accepted,O_Cancelled,O_Created,O_Declined,O_Selected,O_Sent,O_Sent_back,W_Assess_fraude,W_Assessing_application,W_Calling_after_sent_offers,W_Calling_to_add_info_app,W_Change_contact_details,W_Filling_info_application,W_Fixing_incoming_lead
0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,3,7,0,0,3,0
1,1,1,1,1,0,0,1,1,1,1,1,1,1,2,0,2,2,1,0,7,10,0,0,5,0
2,1,1,1,1,0,0,1,1,1,1,1,1,2,3,0,3,3,1,0,3,25,0,1,9,0
3,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0
6,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,3
7,2,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0
8,2,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,3
9,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,3,5,0,0,5,0
10,1,1,1,1,0,0,1,1,1,1,1,1,1,2,0,2,2,1,0,9,14,34,0,3,0
11,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,3,9,9,0,3,0
12,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,5
13,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,16,17,21,0,9,0
15,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
16,1,1,1,1,0,0,1,1,1,1,1,1,2,3,0,3,3,2,0,6,6,14,0,7,0
17,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,8,7,13,0,7,0
18,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,33,3
19,2,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,3,0,0,3,3
20,0,0,1,0,0,1,1,1,1,0,1,0,1,2,1,2,2,0,0,0,10,0,0,11,3
21,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,3,3,0,0,5,0
22,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,5,0,0,0,0,33,0
23,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,3,7,0,0,3,0
25,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
26,2,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0
27,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0
30,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
31,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0
32,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,18,9,51,0,17,0
33,2,0,1,0,1,0,1,1,1,0,1,0,2,2,0,2,2,0,0,0,18,0,0,3,0
34,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,5,7,0,0,3,0
35,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,8,7,3,0,5,0
36,2,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,5,0,0,5,0
37,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0
38,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
39,2,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,26,0,0,5,0
40,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,30,0,0,5,3
42,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3
43,0,0,1,0,0,1,1,1,1,0,1,0,1,2,1,2,2,1,0,3,8,0,0,3,0
44,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,5,5,0,0,3,0
46,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,7
47,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5
48,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,13,0,0,7,0
50,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0
52,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,3,3,0,0,7,0
53,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,3,3,0,0,3,0
54,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
57,2,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,5,0,0,3,3
58,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
59,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,3,9,0,0,5,0
61,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,5,7,0,0,13,0
62,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,1,1,1,1,0,0,1,1,1,1,1,1,1,2,0,2,2,2,0,8,13,14,0,5,3
65,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
68,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,7,0,0,7,3
71,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
72,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
73,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,5,7,0,0,3,0
76,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0
77,2,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,3
78,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,3
80,1,1,1,1,0,0,1,1,1,1,1,1,1,2,0,2,2,1,0,9,18,64,0,7,0
81,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
83,2,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,0
84,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,9,3,16,0,7,0
85,2,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,18,0,0,15,3
86,2,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,8,0,0,3,0
87,0,0,1,0,0,1,1,1,1,0,1,0,1,2,1,2,2,1,0,3,20,0,0,7,3
88,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,5,7,57,0,7,0
90,2,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0
91,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
92,2,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3
93,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,3,3,0,0,5,0
94,2,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,3,0,0,5,0
95,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,5,3,0,0,3,3
96,2,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,3,0,0,5,3
97,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,2,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,7,0,0,9,0
100,2,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,24,0,0,3,3
101,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
103,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,3,7,0,0,11,0
104,2,0,1,0,1,0,1,1,1,0,1,0,2,2,0,2,2,0,0,0,22,0,0,5,0
105,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
106,2,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,9,0,0,3,0
107,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
108,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,3
109,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
110,2,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,17,0,0,37,0
111,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,1,1,1,1,0,0,1,1,1,1,1,1,1,2,0,2,2,1,0,5,5,24,0,9,0
113,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,3,7,0,0,27,0
114,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,14,7,5,0,3,0
115,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,8,3,23,0,3,0
116,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0
117,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
118,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,1,1,1,1,0,0,1,1,1,1,1,1,5,6,0,6,6,1,0,28,56,7,0,3,0
121,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,0,0,1,0,0,1,1,1,1,0,1,0,1,2,1,2,2,1,0,6,6,25,0,5,3
124,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
125,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
126,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,3,7,0,0,7,0
127,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,3,3,15,0,7,0
129,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,3,7,0,0,3,0
130,2,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,0
131,2,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,22,0,0,3,0
132,1,1,1,1,0,0,1,1,1,1,1,1,2,3,0,3,3,2,0,8,10,16,0,5,0
133,1,1,1,1,0,0,1,1,1,1,1,1,1,2,0,2,2,1,0,3,14,0,0,7,0
134,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0
135,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,3,3,0,0,3,0
136,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,2,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,3
138,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
139,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
140,2,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,5
141,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
142,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
143,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
144,1,1,1,1,0,0,1,1,1,1,1,1,3,4,0,4,4,3,0,16,7,61,0,7,0
145,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
146,2,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,3
147,1,1,1,1,0,0,1,1,1,1,1,1,1,2,0,2,2,1,0,3,6,0,0,5,0
148,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,3,3,0,0,9,0
149,2,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32,0
150,2,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,3
151,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,3,7,0,0,15,0
152,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,2,0,1,0,1,0,1,1,1,0,1,0,2,2,0,2,2,0,0,0,31,0,0,15,0
154,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
155,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,2,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,0,8,5,12,0,3,3
157,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,2,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24,0
160,2,0,1,0,1,0,1,1,1,0,1,0,2,2,0,2,2,0,0,0,12,0,0,3,0
161,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3
163,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
